id,name,description
1,I'm The Brut Now,Win a game on Overkill while taking the most damage on your team.
2,Ban This Guy,Fire at least 1 shot with MG.
3,Mccool's Pineapple's,Get 3 kills with GL in a single game.
4,Plasma Pontiff,Get 3 kills with PG in a single game.
5,Honorary Zoomer,Finish a game with over 50% LG accuracy.
6,Bad Baiter,Lose a game with RG as your most damaging weapon.
7,Good Baiter,Win a game with RG as your most damaging weapon.
8,A Win is a Win,Win a game with 0 frags.
9,KGB's Dream,Finish a game with over 75% RG accuracy.
10,net_restart,Finish a game with less than 10% SG accuracy
11,Bad Luck Brut,Finish a game with 0% RG accuracy (with 5 or more shots).
12,9th Point Curse,Lose a game 9-10.
13,Mccool's Dream,Win a game at 10-9.
14,Torrin's Handcam,Finish a game with less than 30% LG accuracy.
15,Skinner's List,Finish a game with greater than 85% RL accuracy.
16,Solo's Database,Finish a game with over 50% LG and 75% RG accuracy.
17,Gribbled's Disciple,Finish a game without using LG.
19,Back to Fortnite,Lose a game 10-0.
20,A Glimmer of Hope,Lose a game 1-10.
21,Spit on Him Father,Win a game 10-0.